,n_nodes,n_processors,width,density,regular,jump,GA_makespan,proposedAlgo
0,10,2,0.5,0.1,0.1,2,132.0,114.0
1,10,2,0.5,0.1,0.5,2,150.0,126.0
2,10,2,0.5,0.1,1.0,2,153.0,123.0
3,10,2,0.5,0.5,0.1,2,133.0,116.0
4,10,2,0.5,0.5,0.5,2,119.0,97.0
5,10,2,0.5,0.5,1.0,2,118.0,88.0
6,10,2,0.5,1.0,0.1,2,140.0,130.0
7,10,2,0.5,1.0,0.5,2,132.0,114.0
8,10,2,0.5,1.0,1.0,2,133.0,95.0
9,10,2,1.0,0.1,0.1,2,128.0,103.0
10,10,2,1.0,0.1,0.5,2,129.0,104.0
11,10,2,1.0,0.1,1.0,2,126.0,112.0
12,10,2,1.0,0.5,0.1,2,125.0,140.0
13,10,2,1.0,0.5,0.5,2,127.0,86.0
14,10,2,1.0,0.5,1.0,2,99.0,102.0
15,10,2,1.0,1.0,0.1,2,135.0,129.0
16,10,2,1.0,1.0,0.5,2,123.0,123.0
17,10,2,1.0,1.0,1.0,2,121.0,98.0
18,10,2,10.0,0.1,0.1,2,113.0,109.0
19,10,2,10.0,0.1,0.5,2,100.0,100.0
20,10,2,10.0,0.1,1.0,2,99.0,104.0
21,10,2,10.0,0.5,0.1,2,126.0,131.0
22,10,2,10.0,0.5,0.5,2,98.0,106.0
23,10,2,10.0,0.5,1.0,2,93.0,102.0
24,10,2,10.0,1.0,0.1,2,91.0,93.0
25,10,2,10.0,1.0,0.5,2,93.0,98.0
26,10,2,10.0,1.0,1.0,2,130.0,131.0
27,10,4,0.5,0.1,0.1,2,112.0,77.0
28,10,4,0.5,0.1,0.5,2,111.0,82.0
29,10,4,0.5,0.1,1.0,2,177.0,132.0
30,10,4,0.5,0.5,0.1,2,153.0,116.0
31,10,4,0.5,0.5,0.5,2,167.0,129.0
32,10,4,0.5,0.5,1.0,2,131.0,83.0
33,10,4,0.5,1.0,0.1,2,157.0,100.0
34,10,4,0.5,1.0,0.5,2,143.0,111.0
35,10,4,0.5,1.0,1.0,2,133.0,107.0
36,10,4,1.0,0.1,0.1,2,114.0,82.0
37,10,4,1.0,0.1,0.5,2,107.0,88.0
38,10,4,1.0,0.1,1.0,2,135.0,111.0
39,10,4,1.0,0.5,0.1,2,130.0,77.0
40,10,4,1.0,0.5,0.5,2,119.0,87.0
41,10,4,1.0,0.5,1.0,2,152.0,118.0
42,10,4,1.0,1.0,0.1,2,150.0,127.0
43,10,4,1.0,1.0,0.5,2,140.0,111.0
44,10,4,1.0,1.0,1.0,2,132.0,101.0
45,10,4,10.0,0.1,0.1,2,96.0,92.0
46,10,4,10.0,0.1,0.5,2,100.0,96.0
47,10,4,10.0,0.1,1.0,2,89.0,97.0
48,10,4,10.0,0.5,0.1,2,97.0,101.0
49,10,4,10.0,0.5,0.5,2,86.0,80.0
50,10,4,10.0,0.5,1.0,2,106.0,103.0
51,10,4,10.0,1.0,0.1,2,102.0,97.0
52,10,4,10.0,1.0,0.5,2,108.0,108.0
53,10,4,10.0,1.0,1.0,2,115.0,114.0
54,10,6,0.5,0.1,0.1,2,110.0,75.0
55,10,6,0.5,0.1,0.5,2,127.0,90.0
56,10,6,0.5,0.1,1.0,2,132.0,93.0
57,10,6,0.5,0.5,0.1,2,196.0,162.0
58,10,6,0.5,0.5,0.5,2,148.0,109.0
59,10,6,0.5,0.5,1.0,2,154.0,98.0
60,10,6,0.5,1.0,0.1,2,140.0,91.0
61,10,6,0.5,1.0,0.5,2,122.0,101.0
62,10,6,0.5,1.0,1.0,2,168.0,99.0
63,10,6,1.0,0.1,0.1,2,105.0,94.0
64,10,6,1.0,0.1,0.5,2,104.0,72.0
65,10,6,1.0,0.1,1.0,2,111.0,81.0
66,10,6,1.0,0.5,0.1,2,117.0,102.0
67,10,6,1.0,0.5,0.5,2,137.0,90.0
68,10,6,1.0,0.5,1.0,2,122.0,101.0
69,10,6,1.0,1.0,0.1,2,138.0,101.0
70,10,6,1.0,1.0,0.5,2,118.0,108.0
71,10,6,1.0,1.0,1.0,2,145.0,135.0
72,10,6,10.0,0.1,0.1,2,105.0,83.0
73,10,6,10.0,0.1,0.5,2,81.0,78.0
74,10,6,10.0,0.1,1.0,2,109.0,98.0
75,10,6,10.0,0.5,0.1,2,100.0,93.0
76,10,6,10.0,0.5,0.5,2,92.0,80.0
77,10,6,10.0,0.5,1.0,2,88.0,84.0
78,10,6,10.0,1.0,0.1,2,96.0,93.0
79,10,6,10.0,1.0,0.5,2,101.0,98.0
80,10,6,10.0,1.0,1.0,2,108.0,103.0
81,20,2,0.5,0.1,0.1,2,213.0,173.0
82,20,2,0.5,0.1,0.5,2,211.0,171.0
83,20,2,0.5,0.1,1.0,2,218.0,171.0
84,20,2,0.5,0.5,0.1,2,263.0,191.0
85,20,2,0.5,0.5,0.5,2,247.0,191.0
86,20,2,0.5,0.5,1.0,2,226.0,163.0
87,20,2,0.5,1.0,0.1,2,260.0,192.0
88,20,2,0.5,1.0,0.5,2,232.0,166.0
89,20,2,0.5,1.0,1.0,2,268.0,218.0
90,20,2,1.0,0.1,0.1,2,203.0,176.0
91,20,2,1.0,0.1,0.5,2,224.0,199.0
92,20,2,1.0,0.1,1.0,2,195.0,189.0
93,20,2,1.0,0.5,0.1,2,226.0,175.0
94,20,2,1.0,0.5,0.5,2,219.0,170.0
95,20,2,1.0,0.5,1.0,2,240.0,189.0
96,20,2,1.0,1.0,0.1,2,247.0,196.0
97,20,2,1.0,1.0,0.5,2,246.0,191.0
98,20,2,1.0,1.0,1.0,2,198.0,171.0
99,20,2,10.0,0.1,0.1,2,184.0,189.0
100,20,2,10.0,0.1,0.5,2,201.0,199.0
101,20,2,10.0,0.1,1.0,2,183.0,185.0
102,20,2,10.0,0.5,0.1,2,174.0,176.0
103,20,2,10.0,0.5,0.5,2,204.0,208.0
104,20,2,10.0,0.5,1.0,2,168.0,171.0
105,20,2,10.0,1.0,0.1,2,193.0,193.0
106,20,2,10.0,1.0,0.5,2,194.0,196.0
107,20,2,10.0,1.0,1.0,2,191.0,191.0
108,20,4,0.5,0.1,0.1,2,280.0,194.0
109,20,4,0.5,0.1,0.5,2,267.0,190.0
